Serial_number Axis Date Time Old_Cal_Offset New_Cal_Offset Diff_Cal_Offset
14kR-500120 1 2016-09-06 12:25:48 3.06790 3.87520 0.80730
14kR-500120 2 2016-09-06 12:26:08 2.63780 4.46090 1.82310
14kR-500120 3 2016-09-06 12:26:55 2.50490 6.20730 3.70240
14kR-500120 4 2016-09-06 12:27:24 1.58560 4.38630 2.80070
14kR-500120 5 2016-09-06 12:28:26 4.37690 4.32600 -0.05090
14kR-500120 6 2016-09-06 12:28:56 4.99260 5.16690 0.17430
14kR-500120 7 2016-09-06 12:29:22 5.62630 3.32590 -2.30040
14kR-500120 3 2016-09-06 12:30:15 6.20730 6.20460 -0.00270
14kR-500120 6 2016-09-07 12:55:50 5.16690 5.16690 0.00000
14kR-500120 1 2016-09-07 12:57:30 3.87520 3.87790 0.00270
14kR-500120 2 2016-09-07 12:57:50 4.46090 4.46270 0.00180
14kR-500120 3 2016-09-07 12:58:13 6.20460 6.20540 0.00080
14kR-500120 4 2016-09-07 12:58:42 4.38630 4.38950 0.00320
14kR-500120 5 2016-09-07 12:59:44 4.32600 4.19070 -0.13530
14kR-500120 6 2016-09-07 13:00:13 5.16690 5.16570 -0.00120
14kR-500120 7 2016-09-07 13:00:39 3.32590 3.32490 -0.00100
14kL-500120 1 2016-09-28 12:26:29 1.04210 2.20460 1.16250
14kL-500120 2 2016-09-28 12:26:51 2.28940 5.70340 3.41400
14kL-500120 3 2016-09-28 12:27:15 2.58200 1.30400 -1.27800
14kL-500120 4 2016-09-28 12:27:57 3.90800 2.28340 -1.62460
14kL-500120 1 2016-09-28 12:30:54 2.20460 2.21140 0.00680
14kL-500120 2 2016-09-28 12:31:21 5.70340 5.70190 -0.00150
14kL-500120 3 2016-09-28 12:31:49 1.30400 1.30450 0.00050
14kL-500120 4 2016-09-28 12:32:34 2.28340 2.27840 -0.00500
14kL-500120 1 2016-09-28 14:55:12 2.21140 2.22240 0.01100
14kL-500120 2 2016-09-28 14:55:34 5.70190 5.71700 0.01510
14kL-500120 1 2016-09-28 14:59:11 2.22240 2.20140 -0.02100
14kL-500120 2 2016-09-28 14:59:33 5.71700 5.70610 -0.01090
14kL-500120 3 2016-09-28 14:59:57 1.30450 1.30670 0.00220
14kL-500120 4 2016-09-28 15:00:26 2.27840 2.31490 0.03650
